Bedrooms,Bathrooms,Area_sqft,Location_Rating,Age_of_House,Garage,Price
4,2,655,7,6,1,423104
5,3,3224,6,39,1,737362
3,2,2915,6,22,1,569136
5,2,2716,2,47,0,562937
5,3,2351,5,10,0,611901
2,1,2647,3,35,0,410910
3,1,1501,7,48,1,407721
3,1,2224,4,47,0,411965
3,1,3440,1,22,1,551230
5,3,856,6,42,1,500988
4,3,1271,6,6,1,484731
3,3,1089,7,26,0,415728
5,2,3393,8,12,1,732431
2,3,2696,3,16,0,475907
4,1,2282,6,31,0,486409
2,2,915,10,25,0,339721
4,1,3060,2,21,1,577694
5,1,1033,9,12,0,452394
1,3,1625,2,11,0,306415
4,3,2575,3,6,1,588030
2,1,3816,10,0,0,599072
5,1,2579,2,32,1,578031
4,2,1989,9,13,0,541807
1,3,1019,1,46,1,247101
1,2,2196,5,42,1,386548
3,2,2184,1,40,1,441515
3,2,1443,5,16,1,424261
2,1,2067,8,3,1,417217
4,2,3563,8,38,0,661523
4,2,1033,8,0,0,458252
3,1,3290,2,40,0,512075
4,3,2178,8,44,0,552331
4,3,2704,5,23,1,603566
1,2,1563,1,33,1,283581
3,1,1576,7,33,0,406336
5,3,3849,6,23,1,810088
3,2,3964,5,14,0,633636
5,2,645,1,16,1,378439
1,1,1793,1,12,1,299924
2,2,3942,6,6,0,624018
4,3,1016,10,8,0,483526
1,1,1447,7,43,1,300752
4,3,2786,10,34,0,661700
2,3,846,10,22,0,344960
2,3,3819,1,46,0,578473
1,2,829,9,38,0,255894
2,2,1391,4,22,1,353041
5,3,1236,5,25,1,528631
2,3,3021,2,0,1,547913
4,1,3751,10,13,1,709693
4,1,1337,8,31,0,441225
4,2,1688,2,47,0,416951
4,2,687,3,9,0,367012
5,1,3759,9,0,1,770744
3,3,1312,2,4,1,406918
1,2,2349,6,2,1,417489
4,3,1827,4,48,1,528468
2,1,2536,7,49,0,429122
4,2,2005,6,26,0,526353
2,2,1200,10,21,0,349734
2,1,2099,9,17,1,428234
4,2,3186,9,15,1,676155
5,1,813,10,1,1,464007
2,2,2721,4,46,1,451500
2,1,2708,1,12,1,414409
4,2,1297,2,44,1,409173
2,3,1842,8,15,0,450635
2,3,2659,10,7,1,576274
4,3,3461,8,42,1,720115
4,2,2679,2,7,1,558584
1,2,1783,4,9,0,333343
5,3,1600,1,32,0,474650
5,3,836,7,30,1,510989
2,1,1804,4,11,0,352228
5,1,3205,8,8,0,675916
2,1,2081,9,36,0,403219
1,3,1703,9,8,1,403944
4,3,1246,3,47,0,409753
4,3,3634,5,17,0,689316
4,1,3467,6,29,0,627097
5,2,1072,6,31,1,463574
1,3,711,10,39,0,282029
5,2,3963,8,22,1,787513
5,2,2445,6,10,0,607140
1,2,2254,6,19,1,421908
1,1,982,4,18,1,225002
1,2,616,7,35,1,240222
1,3,1092,8,25,1,338353
4,1,3573,3,9,1,636901
3,3,2496,7,23,0,529509
3,3,2109,3,12,0,489500
1,1,716,8,45,0,207508
3,3,2178,1,33,1,457036
3,3,1479,1,28,1,388893
1,1,2762,6,35,1,429947
3,3,2418,10,6,0,587621
5,2,2172,9,29,1,605913
2,3,3461,4,16,1,597595
2,2,2248,6,47,1,427508
1,3,1243,5,12,1,317944
